"","number","c1","c2","c3","c4","c6","c7","c8","c10","c11","c12","c13","c14","c17","c18","c19","c20","c21","c22"
"31",31,15.92574902,-12.69880371,-32.07350097,-16.32374707,-6.323903319,-19.44869824,-27.32357519,10.05084082,5.050918944,4.175932616,8.300868162,6.925889647,1.800969726,0.550989258,0.05099707,3.550942382,-5.698913085,126.0490283
"61",61,-61.19804588,-19.19870214,-5.698913085,8.300868162,-22.8236455,-2.69895996,22.92563964,-36.07343847,-34.69845995,-6.323903319,-17.57372753,-5.698913085,-30.57352441,-23.94862792,0.05099707,1.300977539,9.550848631,17.55072363
"86",86,-36.57343066,-20.57368066,-3.198952148,6.550895506,-33.07348534,0.925983398,30.05052831,-24.44862011,-18.94870605,5.300915038,-19.44869824,-5.823911131,-16.07375097,-1.073985351,-0.32399707,9.300852537,11.30082129,-129.5719775
"149",149,5.675909178,12.30080566,0.175995117,5.300915038,46.05027831,10.92582715,45.67528417,8.425866209,-0.448995117,-3.073954101,6.050903319,1.425975586,26.550583,5.800907225,-0.074000977,30.05052831,7.425881834,-63.32301268
"158",158,7.675877928,3.050950195,-7.823879881,-4.948924804,-17.44872949,-2.32396582,5.800907225,2.675956054,13.55078613,11.80081347,2.550958007,7.17588574,13.55078613,-0.448995117,0.300993164,28.55055175,17.67572168,27.42556933
"168",168,-2.69895996,-4.448932616,-1.573977539,5.675909178,5.425913085,5.425913085,23.42563183,-6.198905272,8.675862303,3.050950195,7.800875975,9.050856443,-12.07381347,0.925983398,0.175995117,13.30079004,10.30083691,-62.94801854
"193",193,17.67572168,26.67558105,13.30079004,6.675893553,33.05048144,21.30066503,10.17583886,32.6754873,22.30064941,10.42583496,35.05045019,28.6755498,27.17557324,16.05074707,0.05099707,27.55056738,28.17555761,-78.19778025
"219",219,-3.073954101,-8.073875975,-8.073875975,-0.948987304,-1.823973632,5.675909178,-6.448901366,-6.073907225,1.175979492,3.550942382,3.550942382,-1.073985351,-2.198967773,-0.074000977,-0.074000977,10.42583496,3.925936522,97.42447556
"230",230,-48.82323925,-7.44888574,-10.19884277,-4.948924804,-14.94876855,-1.323981445,5.300915038,-6.198905272,1.050981445,9.050856443,13.92578027,10.55083301,-7.0738916,-5.948909178,0.05099707,11.17582324,32.55048925,228.6724248
"232",232,-41.19835839,-5.823911131,-6.948893553,0.550989258,-0.32399707,15.55075488,11.42581933,-10.69883496,0.175995117,4.925920897,11.42581933,18.550708,-8.198874022,-3.073954101,-0.074000977,23.92562402,31.92549902,309.7961572
"239",239,-51.82319237,-14.69877246,3.550942382,6.175901366,-3.323950195,-4.198936522,-25.19860839,-15.57375879,-7.573883787,-8.073875975,-12.07381347,-14.69877246,-15.69875683,9.425850584,-0.074000977,-0.948987304,4.300930663,371.5451923
"245",245,-40.19837401,-4.448932616,8.800860349,5.550911131,23.30063378,5.800907225,-3.198952148,5.050918944,7.300883787,1.425975586,11.67581543,19.80068847,-6.198905272,6.300899413,0.05099707,6.675893553,10.55083301,322.9209521
"262",262,-5.948909178,15.05076269,4.175932616,-0.198999023,-4.573930663,-10.57383691,-15.69875683,19.17569824,9.800844724,0.925983398,25.05060644,17.92571777,16.55073925,10.67583105,0.175995117,6.550895506,31.80050097,-44.6983037
"266",266,-13.57379004,10.17583886,8.300868162,3.925936522,1.300977539,-6.073907225,-12.19881152,5.425913085,2.925952148,-1.323981445,19.92568652,1.425975586,5.300915038,11.17582324,-0.074000977,6.8008916,31.67550292,-41.69835058
"290",290,4.675924804,18.17571386,11.05082519,8.300868162,5.300915038,16.55073925,-0.948987304,8.425866209,9.425850584,8.300868162,9.925842771,13.92578027,38.80039159,22.05065332,-0.074000977,36.17543261,25.55059863,-21.69866308
"294",294,8.550864256,12.30080566,5.675909178,7.550879881,19.05070019,3.800938476,-0.698991211,13.42578808,17.17572949,6.175901366,14.8007666,37.30041503,35.17544823,16.42574121,0.425991211,30.05052831,29.92553027,-24.07362597
"360",360,13.92578027,6.550895506,13.80078222,12.55080175,-3.323950195,-0.32399707,-10.82383301,-18.32371582,-19.0737041,-7.44888574,-45.19829589,-38.32340331,5.425913085,-6.698897459,-0.074000977,6.425897459,-21.69866308,243.7971884
"390",390,40.4253662,-14.57377441,-9.198858396,-9.44885449,-21.44866699,3.800938476,0.425991211,27.42556933,13.42578808,8.550864256,44.05030956,-0.198999023,-7.823879881,-3.198952148,0.05099707,17.17572949,20.92567089,-116.6971787
"434",434,-6.323903319,-13.94878418,-14.19878027,-3.698944335,-53.94815917,-20.44868261,-18.823708,8.550864256,3.175948241,-3.448948241,13.55078613,4.925920897,-11.0738291,-2.198967773,-0.074000977,-45.57329003,-15.44876074,-81.19773338
"449",449,50.550208,27.92556152,13.17579199,-1.448979492,49.67522167,4.550926757,-17.19873339,29.55053613,6.050903319,0.300993164,18.550708,11.92581152,26.67558105,6.550895506,-0.198999023,11.92581152,2.300961913,142.9237646
"492",492,9.550848631,2.42595996,10.30083691,8.550864256,-7.573883787,3.675940429,2.550958007,-4.073938476,-4.198936522,-1.448979492,-1.823973632,-13.1987959,3.925936522,4.300930663,-0.074000977,-6.573899413,-0.573993164,-50.19821776
"510",510,-14.19878027,-20.9486748,-6.948893553,3.050950195,21.17566699,10.17583886,-9.823848631,-8.073875975,-8.323872068,-2.32396582,-1.948971679,-11.57382129,-12.57380566,-5.448916991,-0.32399707,-9.073860349,-6.948893553,-54.07315721
"532",532,4.175932616,-18.69870996,-13.69878808,-11.82381738,-28.19856152,-10.82383301,-20.19868652,1.550973632,-3.073954101,1.425975586,20.05068457,14.92576464,-5.948909178,-16.07375097,-0.32399707,-10.32384082,10.67583105,-106.947331
"535",535,6.050903319,-20.07368847,-20.57368066,-10.57383691,-2.073969726,-13.44879199,-8.698866209,-23.32363769,-7.698881834,-0.698991211,9.050856443,4.050934569,-9.698850584,-24.19862402,-0.074000977,-7.44888574,8.800860349,-115.4471982
"565",565,6.550895506,11.92581152,-2.073969726,-5.07392285,-0.948987304,-1.573977539,-2.448963867,30.05052831,15.55075488,5.300915038,42.67533104,-7.948877928,15.05076269,-0.823989258,0.05099707,-14.57377441,18.550708,203.2978212
"574",574,22.67564355,10.42583496,0.675987304,2.550958007,11.17582324,2.175963867,8.050872068,41.80034472,3.550942382,2.05096582,55.17513573,20.17568261,3.425944335,-9.948846677,-0.074000977,13.80078222,36.05043456,384.4199911
"581",581,7.300883787,2.675956054,-0.448995117,1.050981445,-4.573930663,0.425991211,20.6756748,25.55059863,2.550958007,1.800969726,35.80043847,7.300883787,-5.573915038,-4.323934569,0.05099707,-7.198889647,32.05049706,418.0444657
"585",585,-0.074000977,-2.948956054,8.550864256,6.8008916,13.80078222,0.550989258,17.30072753,9.675846677,1.175979492,9.425850584,34.30046191,32.80048534,-17.44872949,1.800969726,0.05099707,-4.073938476,23.92562402,292.0464345
"596",596,-20.07368847,-9.573852537,7.800875975,3.800938476,-22.69864746,-3.198952148,9.550848631,6.550895506,6.925889647,10.55083301,17.67572168,3.800938476,-7.573883787,12.30080566,0.05099707,-18.823708,10.30083691,-31.82350488
"603",603,1.800969726,11.17582324,15.92574902,9.300852537,24.6756123,4.175932616,4.175932616,18.67570605,6.550895506,-3.448948241,27.67556542,20.17568261,12.55080175,8.550864256,-0.074000977,3.550942382,20.6756748,-72.69786619
"608",608,-12.19881152,7.425881834,14.67576855,21.92565527,-14.07378222,18.30071191,17.30072753,-28.07356347,-2.198967773,0.800985351,-10.82383301,-2.073969726,-4.573930663,-0.823989258,-0.074000977,-1.823973632,-10.44883886,-67.44794823
"612",612,-8.573868162,-2.32396582,5.175916991,13.05079394,31.05051269,14.42577246,16.30074316,2.550958007,-2.948956054,0.675987304,-10.07384472,-20.57368066,-2.69895996,0.425991211,0.05099707,3.300946288,-3.698944335,-169.4463545
"622",622,10.17583886,9.550848631,8.800860349,3.300946288,19.55069238,25.92559277,12.9257959,33.30047753,22.30064941,16.92573339,26.67558105,42.67533104,6.425897459,9.925842771,-0.074000977,28.30055566,36.55042675,-102.8223955
"623",623,-1.073985351,3.800938476,4.050934569,0.425991211,5.675909178,20.30068066,11.67581543,3.425944335,16.17574511,18.42570996,16.92573339,36.92542089,-4.198936522,3.425944335,0.05099707,20.05068457,28.4255537,-79.32276268
"678",678,13.17579199,15.05076269,6.175901366,2.05096582,9.800844724,-10.32384082,12.05080957,15.92574902,-1.948971679,-4.198936522,5.925905272,1.550973632,8.800860349,4.300930663,0.05099707,14.30077441,8.550864256,199.6728779
"695",695,12.42580371,19.67569042,11.42581933,4.42592871,17.67572168,5.300915038,5.300915038,2.550958007,2.300961913,3.800938476,-7.948877928,7.800875975,12.80079785,11.80081347,0.05099707,20.6756748,4.42592871,399.7947509
"697",697,8.675862303,21.05066894,14.05077832,9.550848631,21.17566699,8.550864256,15.67575293,-14.69877246,-5.698913085,-1.198983398,-16.69874121,-14.44877636,11.92581152,11.05082519,0.05099707,16.80073535,-9.073860349,312.6711122
"698",698,15.55075488,27.92556152,16.80073535,8.925858396,29.30054003,4.300930663,3.050950195,10.92582715,-4.323934569,-6.448901366,-5.823911131,-9.198858396,17.55072363,13.30079004,-0.074000977,20.17568261,2.42595996,310.2961493
"727",727,24.6756123,32.80048534,10.8008291,3.175948241,-0.823989258,-5.698913085,21.80065722,5.425913085,-1.448979492,-10.69883496,-13.44879199,-15.69875683,25.17560449,14.67576855,0.175995117,7.675877928,-6.573899413,-96.07250095
"735",735,13.30079004,13.30079004,-4.948924804,-6.823895506,8.425866209,-0.198999023,8.300868162,5.050918944,6.175901366,-6.198905272,-1.948971679,-0.448995117,15.30075879,8.300868162,0.05099707,6.550895506,0.800985351,-67.69794432
"780",780,-29.32354394,-21.69866308,-18.44871386,-18.44871386,-3.448948241,-13.44879199,6.300899413,-14.44877636,1.925967773,2.550958007,-12.32380957,-0.823989258,-9.948846677,-11.19882715,-0.074000977,-4.448932616,-3.948940429,-25.94859667
"811",811,-16.57374316,1.050981445,4.80092285,-0.198999023,2.175963867,-2.573961913,-17.07373535,4.42592871,4.675924804,-1.198983398,-8.698866209,5.175916991,8.175870115,3.800938476,0.300993164,-4.198936522,-0.198999023,302.5462704
